,Time_dt,Country,Unemployment_Rate
84,2020-05-31,Iceland,4.5
85,2020-05-31,Ireland,4.8
86,2020-05-31,Israel,4.272801
87,2020-05-31,Italy,8.7
88,2020-05-31,Japan,2.9
89,2020-05-31,Korea (the Republic of),4.5
90,2020-05-31,Latvia,8.7
91,2020-05-31,Lithuania,8.5
92,2020-05-31,Luxembourg,7.6
93,2020-05-31,Mexico,4.309024
94,2020-05-31,Netherlands (the),3.6
95,2020-05-31,Norway,4.6
96,2020-05-31,Poland,3.3
97,2020-05-31,Portugal,5.9
98,2020-05-31,Slovakia,6.8
99,2020-05-31,Slovenia,5.5
100,2020-05-31,Spain,15.3
101,2020-05-31,Sweden,8.4
102,2020-05-31,Turkey,14.0
103,2020-05-31,United Kingdom of Great Britain and Northern Ireland (the),3.7
104,2020-05-31,United States of America (the),13.3
105,2020-06-30,Australia,7.440282000000001
106,2020-06-30,Austria,5.9
107,2020-06-30,Belgium,5.0
108,2020-06-30,Canada,12.3
109,2020-06-30,Chile,12.32599
110,2020-06-30,Colombia,20.62735
111,2020-06-30,Czechia,2.7
112,2020-06-30,Denmark,6.0
113,2020-06-30,Estonia,8.0
114,2020-06-30,Finland,7.9
115,2020-06-30,France,6.6
116,2020-06-30,Germany,4.4
117,2020-06-30,Greece,18.0
118,2020-06-30,Hungary,4.9
119,2020-06-30,Iceland,4.5
120,2020-06-30,Ireland,5.0
121,2020-06-30,Israel,4.6043769999999995
122,2020-06-30,Italy,9.4
123,2020-06-30,Japan,2.8
124,2020-06-30,Korea (the Republic of),4.3
125,2020-06-30,Latvia,8.9
126,2020-06-30,Lithuania,8.8
127,2020-06-30,Luxembourg,7.6
128,2020-06-30,Mexico,5.506817
129,2020-06-30,Netherlands (the),4.3
130,2020-06-30,Norway,5.2
131,2020-06-30,Poland,3.3
132,2020-06-30,Portugal,7.3
133,2020-06-30,Slovakia,6.7
134,2020-06-30,Slovenia,5.3
135,2020-06-30,Spain,16.0
136,2020-06-30,Sweden,9.2
137,2020-06-30,Turkey,14.3
138,2020-06-30,United Kingdom of Great Britain and Northern Ireland (the),3.9
139,2020-06-30,United States of America (the),11.1
140,2020-07-31,Australia,7.479592
141,2020-07-31,Austria,5.6
142,2020-07-31,Belgium,5.0
143,2020-07-31,Canada,10.9
144,2020-07-31,Chile,12.28694
145,2020-07-31,Colombia,19.65521
146,2020-07-31,Czechia,2.7
147,2020-07-31,Denmark,6.3
148,2020-07-31,Estonia,7.8
149,2020-07-31,Finland,8.6
150,2020-07-31,France,7.1
151,2020-07-31,Germany,4.5
152,2020-07-31,Greece,16.8
153,2020-07-31,Hungary,4.6
154,2020-07-31,Iceland,5.0
155,2020-07-31,Ireland,5.2
156,2020-07-31,Israel,4.672119
157,2020-07-31,Italy,9.8
158,2020-07-31,Japan,2.9
159,2020-07-31,Korea (the Republic of),4.2
160,2020-07-31,Latvia,9.0
161,2020-07-31,Lithuania,9.0
162,2020-07-31,Luxembourg,7.2
163,2020-07-31,Mexico,5.148562
164,2020-07-31,Netherlands (the),4.5
165,2020-07-31,Norway,5.2
166,2020-07-31,Poland,3.2
167,2020-07-31,Portugal,7.9
168,2020-07-31,Slovakia,6.8
169,2020-07-31,Slovenia,4.8
170,2020-07-31,Spain,16.5
171,2020-07-31,Sweden,9.1
172,2020-07-31,Turkey,13.8
173,2020-07-31,United Kingdom of Great Britain and Northern Ireland (the),4.3
174,2020-07-31,United States of America (the),10.2
175,2020-08-31,Australia,6.846680999999999
176,2020-08-31,Austria,5.4
177,2020-08-31,Belgium,5.1
178,2020-08-31,Canada,10.2
179,2020-08-31,Chile,11.980310000000001
180,2020-08-31,Colombia,17.19132
181,2020-08-31,Czechia,2.8
182,2020-08-31,Denmark,6.2
183,2020-08-31,Estonia,8.0
184,2020-08-31,Finland,8.5
185,2020-08-31,France,7.5
186,2020-08-31,Germany,4.5
187,2020-08-31,Hungary,4.4
188,2020-08-31,Iceland,5.0
189,2020-08-31,Ireland,5.2
190,2020-08-31,Israel,4.86817
191,2020-08-31,Italy,9.7
192,2020-08-31,Japan,3.0
193,2020-08-31,Korea (the Republic of),3.2
194,2020-08-31,Latvia,8.8
195,2020-08-31,Lithuania,9.6
196,2020-08-31,Luxembourg,6.8
197,2020-08-31,Mexico,4.9672339999999995
198,2020-08-31,Netherlands (the),4.6
199,2020-08-31,Norway,5.3
200,2020-08-31,Poland,3.1
201,2020-08-31,Portugal,8.1
202,2020-08-31,Slovakia,6.9
203,2020-08-31,Slovenia,4.7
204,2020-08-31,Spain,16.7
205,2020-08-31,Sweden,9.1
206,2020-08-31,United States of America (the),8.4
207,2020-09-30,Australia,6.939228999999999
208,2020-09-30,Austria,5.5
209,2020-09-30,Belgium,5.2
210,2020-09-30,Canada,9.0
211,2020-09-30,Colombia,16.611720000000002
212,2020-09-30,Czechia,2.8
213,2020-09-30,Denmark,6.1
214,2020-09-30,Finland,8.4
215,2020-09-30,France,7.9
216,2020-09-30,Germany,4.5
217,2020-09-30,Iceland,5.6
218,2020-09-30,Ireland,5.4
219,2020-09-30,Israel,4.687041000000001
220,2020-09-30,Italy,9.6
221,2020-09-30,Japan,3.0
222,2020-09-30,Korea (the Republic of),3.9
223,2020-09-30,Latvia,8.4
224,2020-09-30,Lithuania,9.8
225,2020-09-30,Luxembourg,6.7
226,2020-09-30,Mexico,4.689714
227,2020-09-30,Netherlands (the),4.4
228,2020-09-30,Poland,3.1
229,2020-09-30,Portugal,7.7
230,2020-09-30,Slovakia,6.8
231,2020-09-30,Slovenia,4.7
232,2020-09-30,Spain,16.5
233,2020-09-30,Sweden,9.0
234,2020-09-30,United States of America (the),7.9
